evaluation_id,vendor_id,vendor,category_id,evaluation_category,criterion_id,evaluation_criterion,evaluation_status,assigned_score,rating,score_justification,evidence_summary,source_type,source_url,evidence_confidence,evaluation_notes
E0011,V001,C3.ai,CAT03,Category 3 - Enterprise Integration & Deployment,C11,Tool & API Integration,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Uses C3 Type System and Data Fusion visual connectors for seamless enterprise system integration.,"C3 AI Studio, Data Fusion, and custom agent tools integrate with enterprise systems (SAP, ERP, CRM, SCADA, sensor data) using REST APIs, C3 AI Type System object models, pre-built connectors, and cloud storage/database access tools.",Technical documentation and developer guides,1](https://c3.ai/products/studio) ; [2](https://docs.c3.ai/docs/genAiSearch/8.10/topic/genai-dev-architecture) ; [3](https://docs.c3.ai/docs/platform/8.10/topic/connector-reference-table),High,Uses C3 Type System and Data Fusion visual connectors for seamless enterprise system integration.
E0012,V001,C3.ai,CAT04,"Category 4 - Governance, Security & Trust",C12,Governance & Security,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Enterprise-grade security featuring row-level authorization, compliance audit logs, and modern SSO protocol support.","Enforces multi-level authentication (OIDC, SAML, OAuth 2.0) and dynamic, programmatically settable row-level authorization for data objects/methods using RBAC, SOC/FedRAMP compliant audit trails, and config change auditing.",Official Documentation,1](https://c3.ai/resources/what-is-enterprise-ai/it-for-enterprise-ai/c3-ai-suite-for-digital-transformation) ; [2](https://docs.c3.ai/docs/platform/8.9/topic/security-overview) ; [3](https://docs.c3.ai/docs/platform/8.10/topic/security-config-auditing),High,"Enterprise-grade security featuring row-level authorization, compliance audit logs, and modern SSO protocol support."
E0013,V001,C3.ai,CAT04,"Category 4 - Governance, Security & Trust",C13,Human-in-the-Loop (HITL),Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Built-in interactive checkpoints allow explicit human review steps within complex automated agent workflows.,"Supports interactive execution with human verification and approval checkpoints (e.g., turbine-monitoring workflows routing drafted work orders to schedulers for approval before execution).",Official Documentation,1](https://c3.ai/products/c3-agentic-ai-platform) ; [2](https://docs.c3.ai/docs/platform/8.10/topic/how-c3-applications-are-structured),High,Built-in interactive checkpoints allow explicit human review steps within complex automated agent workflows.
E0014,V001,C3.ai,CAT04,"Category 4 - Governance, Security & Trust",C14,Observability & Explainability,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Combines exact source attribution and visual data lineage with operational trace visibility and configuration auditing.,"Agent Workbench delivers execution trace visibility into reasoning chains and step-level callbacks. The platform provides source data citations, interactive chat verification, visual data lineage, model explainability, and config auditing (users, timestamps, actions).",Technical documentation and developer guides,1](https://c3.ai/blog/what-makes-c3-generative-ai-unique) ; [2](https://docs.c3.ai/docs/platform/8.10/topic/platform-overview) ; [3](https://docs.c3.ai/docs/genAiSearch/8.10/topic/genai-dev-agent-few-shots) ; [4](https://docs.c3.ai/docs/platform/8.10/topic/security-config-auditing),High,Combines exact source attribution and visual data lineage with operational trace visibility and configuration auditing.
E0015,V001,C3.ai,CAT05,Category 5 - Enterprise Readiness & Business Value,C15,Business Domain Fit,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Extensive pre-built operational applications and domain algorithms validated across diverse global industries.,"Offers over 40 pre-built enterprise applications and generative AI solutions spanning Defense & Intelligence, Manufacturing, Utilities, Oil & Gas, Healthcare, Supply Chain, and Financial Services.",Official product demonstrations and webinars,1](https://c3.ai/products/portfolio) ; [2](https://c3.ai/products/c3-generative-ai) ; [3](https://c3.ai/customers),High,Extensive pre-built operational applications and domain algorithms validated across diverse global industries.
E0016,V001,C3.ai,CAT05,Category 5 - Enterprise Readiness & Business Value,C16,Business Value / ROI,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Demonstrates quantifiable customer ROI and operational improvements, though results are customer-reported.","Documented real-world impacts include US Marine Corps decision optimization, asset inspection acceleration, a 55% improvement in lead-time prediction for a global retailer, and a 2.8% revenue uplift for a contract manufacturer, with initial production deployment in 6 months.",Customer case studies and implementation stories,1](https://c3.ai/partners/c3-ai-aws-partnership) ; [2](https://c3.ai/customers),High / Medium,"Demonstrates quantifiable customer ROI and operational improvements, though results are customer-reported."
E0017,V001,C3.ai,CAT05,Category 5 - Enterprise Readiness & Business Value,C17,Scalability,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Scales automatically across Kubernetes infrastructure with dedicated compute pools and dev/test/prod environment isolation.,"Model-driven Type System architecture handles petabyte-scale data ingestion and manages operations from single models up to millions of deployed models, utilizing elastic compute, dedicated compute pools, and Kubernetes cluster orchestration to handle concurrent requests automatically.",Official Documentation,1](https://docs.c3.ai/docs/platform/8.9/topic/about-platform) ; [2](https://docs.c3.ai/docs/genaiPlatform/8.9/topic/genaiPlatform-dev-agents-overview) ; [3](https://docs.c3.ai/docs/platform/8.10/topic/how-c3-applications-are-structured),High,Scales automatically across Kubernetes infrastructure with dedicated compute pools and dev/test/prod environment isolation.
E0018,V002,GCP,CAT01,Category 1 - Core Agent Intelligence,C01,Autonomy,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Secure sandbox execution and proven autonomous decision-making.,"Google Cloud's Agent Platform enables agents to evaluate context, execute multi-step goals, run code in secure sandboxes, and determine tool usage autonomously. AES uses Claude on Vertex AI to automate auditing without constant monitoring.",Official product documentation; Customer case studies and implementation stories,1](https://docs.cloud.google.com/gemini-enterprise-agent-platform/scale) ; [2](https://cloud.google.com/customers/aes),High,Secure sandbox execution and proven autonomous decision-making.
E0019,V002,GCP,CAT01,Category 1 - Core Agent Intelligence,C02,Learning & Adaptability,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Combines evaluation feedback with model-level reinforcement fine-tuning.,Example Store and Gen AI Evaluation Service support performance monitoring and prompt refinement. Vertex AI also supports reinforcement-learning fine-tuning.,Official Documentation,1](https://docs.cloud.google.com/gemini-enterprise-agent-platform/scale) ; [2](https://docs.cloud.google.com/gemini-enterprise-agent-platform/models/tuning/reinforcement-tuning),High,Combines evaluation feedback with model-level reinforcement fine-tuning.
E0020,V002,GCP,CAT01,Category 1 - Core Agent Intelligence,C03,Memory & Context Management,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Supports memory extraction, consolidation, contradiction resolution, similarity search, and TTL expiration.",Agent Engine Memory Bank stores and manages long-term user information across sessions. Agent Platform Sessions manage short-term state.,Official Documentation,1](https://docs.cloud.google.com/gemini-enterprise-agent-platform/scale/memory-bank) ; [2](https://cloud.google.com/agent-builder/agent-engine/memory-bank/overview),High,"Supports memory extraction, consolidation, contradiction resolution, similarity search, and TTL expiration."
E0021,V002,GCP,CAT01,Category 1 - Core Agent Intelligence,C04,Planning & Reasoning,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Native Gemini integration and custom Python support. Planning is an advanced capability and not enabled for all agent types by default.,"Vertex AI Reasoning Engine combines Gemini thinking models with agent frameworks for multi-step reasoning, ReAct loops, and dynamic tool selection. ADK supports planning and task decomposition.",Official Documentation,1](https://docs.cloud.google.com/python/docs/reference/vertexai/latest/vertexai.preview.reasoning_engines.ReasoningEngine) ; [2](https://google.github.io/adk-docs/get-started/about/),High,Native Gemini integration and custom Python support. Planning is an advanced capability and not enabled for all agent types by default.
E0022,V002,GCP,CAT01,Category 1 - Core Agent Intelligence,C05,Workflow Orchestration,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Supports visual flow editing and complex multi-agent architectures.,"Agent Designer and ADK support visual and programmatic orchestration using sequential, parallel, loop, and LLM-driven workflows.",Official product documentation; Technical documentation and developer guides,1](https://docs.cloud.google.com/gemini/enterprise/docs/agent-designer) ; [2](https://cloud.google.com/blog/topics/developers-practitioners/building-collaborative-ai-a-developers-guide-to-multi-agent-systems-with-adk),High,Supports visual flow editing and complex multi-agent architectures.
E0023,V002,GCP,CAT02,Category 2 - Agent Architecture & Development,C06,Agent Creation (Low-Code / No-Code),Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Available across Gemini Enterprise editions and includes CX Agent Studio.,"Agent Designer provides natural-language interaction and visual workflows for creating, testing, and connecting agents to sources such as Gmail, Drive, and Jira.",Official product documentation; Technical documentation and developer guides,1](https://docs.cloud.google.com/gemini/enterprise/docs/agent-designer),High,Available across Gemini Enterprise editions and includes CX Agent Studio.
E0024,V002,GCP,CAT02,Category 2 - Agent Architecture & Development,C07,Ease of Development,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Supports rapid prototyping through Google AI Studio, Cloud Shell, and local evaluation tools.","ADK enables production-ready agents with relatively little code and provides Agent Garden, CLI evaluation, and a visual Web UI for testing.",Technical documentation and developer guides,1](https://codelabs.developers.google.com/multi-agent-app-with-adk) ; [2](https://google.github.io/adk-docs/get-started/about/),High,"Supports rapid prototyping through Google AI Studio, Cloud Shell, and local evaluation tools."
E0025,V002,GCP,CAT02,Category 2 - Agent Architecture & Development,C08,LLM Agnosticism / Model Flexibility,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Gemini has the deepest native support; other models may require LiteLLM or custom vLLM deployment.,"Supports Gemini, open-source models through Model Garden/Hugging Face, custom vLLM containers, and third-party models such as Claude, OpenAI, and Mistral.",Official product documentation; Technical documentation and developer guides,1](https://docs.cloud.google.com/gemini-enterprise-agent-platform/models/open-models/deploy-custom-vllm) ; [2](https://google.github.io/adk-docs/agents/models/vertex/),High,Gemini has the deepest native support; other models may require LiteLLM or custom vLLM deployment.
E0026,V002,GCP,CAT02,Category 2 - Agent Architecture & Development,C09,Multi-Agent Collaboration,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. A2A enables cross-platform and cross-vendor agent interoperability.,"ADK and the open Agent2Agent (A2A) protocol support heterogeneous agents discovering capabilities, delegating tasks, and collaborating across platforms.",Official product documentation; Technical documentation and developer guides,1](https://docs.cloud.google.com/gemini/enterprise/docs/register-and-manage-an-a2a-agent) ; [2](https://developers.googleblog.com/en/agent-development-kit-easy-to-build-multi-agent-applications/),High,A2A enables cross-platform and cross-vendor agent interoperability.
E0027,V002,GCP,CAT03,Category 3 - Enterprise Integration & Deployment,C10,Deployment Flexibility,Evaluated,4.0,Strong,"Assigned score of 4 based on the documented evidence for this criterion. Supports managed, serverless, air-gapped, Kubernetes, and infrastructure-as-code deployments.","Agents can run on Vertex AI Agent Engine, Cloud Run, GKE, Google Distributed Cloud (air-gapped), or custom infrastructure using Terraform.",Technical documentation and developer guides,1](https://registry.terraform.io/providers/hashicorp/google-beta/7.7.0/docs/resources/vertex_ai_reasoning_engine) ; [2](https://docs.cloud.google.com/kubernetes-engine/docs/tutorials/agentic-adk-vertex),High,"Supports managed, serverless, air-gapped, Kubernetes, and infrastructure-as-code deployments."
E0028,V002,GCP,CAT03,Category 3 - Enterprise Integration & Deployment,C11,Tool & API Integration,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Native MCP proxy support, enterprise connectors, and live grounding.","Agents integrate through MCP, OpenAPI, Apigee API Hub, 100+ Application Integration connectors, and Google Search grounding.",Official product documentation; Technical documentation and developer guides,1](https://docs.cloud.google.com/apigee/docs/api-platform/apigee-mcp/apigee-mcp-overview) ; [2](https://cloud.google.com/blog/products/ai-machine-learning/mcp-support-for-apigee),High,"Native MCP proxy support, enterprise connectors, and live grounding."
E0029,V002,GCP,CAT04,"Category 4 - Governance, Security & Trust",C12,Governance & Security,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Provides prompt-injection protection, least-privilege IAM, and audit controls.","Features include Cloud IAM agent identity, Model Armor, VPC Service Controls, CMEK encryption, and Agent Registry governance.",Official product documentation; Technical documentation and developer guides,1](https://docs.cloud.google.com/agent-registry/register-agents) ; [2](https://cloud.google.com/blog/products/ai-machine-learning/more-ways-to-build-and-scale-ai-agents-with-vertex-ai-agent-builder),High,"Provides prompt-injection protection, least-privilege IAM, and audit controls."
E0030,V002,GCP,CAT04,"Category 4 - Governance, Security & Trust",C13,Human-in-the-Loop (HITL),Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. State checkpoints are maintained automatically during approval pauses.,"Agent Builder and ADK allow workflows to pause for human approval, preserve execution state, rewind conversations, and enable operator review.",Customer case studies and implementation stories; Official product documentation,1](https://cloud.google.com/blog/topics/customers/how-schroders-built-its-multi-agent-financial-analysis-research-assistant) ; [2](https://cloud.google.com/blog/products/ai-machine-learning/new-enhanced-tool-governance-in-vertex-ai-agent-builder),High,State checkpoints are maintained automatically during approval pauses.
E0031,V002,GCP,CAT04,"Category 4 - Governance, Security & Trust",C14,Observability & Explainability,Evaluated,4.0,Strong,"Assigned score of 4 based on the documented evidence for this criterion. Strong tracing and monitoring, but formal feature-attribution explainability is limited.","Cloud Logging, Monitoring, Trace, and ADK OpenTelemetry conventions track execution logic, reasoning steps, and tool calls.",Official Documentation,1](https://docs.cloud.google.com/gemini-enterprise-agent-platform/scale) ; [2](https://cloud.google.com/agent-builder/agent-engine/overview),High,"Strong tracing and monitoring, but formal feature-attribution explainability is limited."
E0032,V002,GCP,CAT05,Category 5 - Enterprise Readiness & Business Value,C15,Business Domain Fit,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Demonstrated adoption across multiple enterprise domains.,"Google Cloud provides domain-specific platforms such as CX Agent Studio and documented deployments across finance, real estate, retail, legal, and customer support.",Official product documentation; Customer case studies and implementation stories,1](https://docs.cloud.google.com/gemini-enterprise-cx/cx-agent-studio) ; [2](https://cloud.google.com/transform/101-real-world-generative-ai-use-cases-from-industry-leaders),High,Demonstrated adoption across multiple enterprise domains.
E0033,V002,GCP,CAT05,Category 5 - Enterprise Readiness & Business Value,C16,Business Value / ROI,Evaluated,4.0,Strong,"Assigned score of 4 based on the documented evidence for this criterion. Demonstrates operational value, although reported figures are self-reported by customers.","Google Cloud customer deployments report measurable operational and financial benefits, including AES reducing audit costs by 99% and audit time from 14 days to one hour, Commerzbank reducing administration time by 66%, and Wayfair updating product attributes 4× faster with Vertex AI.",Customer case studies and implementation stories,1](https://cloud.google.com/blog/topics/customers/how-schroders-built-its-multi-agent-financial-analysis-research-assistant) ; [2](https://cloud.google.com/transform/25-of-my-favorite-roi-customer-stories-gen-ai),Medium,"Demonstrates operational value, although reported figures are self-reported by customers."
E0034,V002,GCP,CAT05,Category 5 - Enterprise Readiness & Business Value,C17,Scalability,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Supports multi-region serverless deployments and high-throughput GKE workloads.,"Managed Agent Runtime automatically scales compute, memory, and sessions. GKE supports horizontal pod autoscaling with GPU/TPU acceleration.",Official Documentation,1](https://docs.cloud.google.com/gemini-enterprise-agent-platform/scale) ; [2](https://cloud.google.com/vertex-ai/generative-ai/docs/agent-engine/overview?hl=en),High,Supports multi-region serverless deployments and high-throughput GKE workloads.
E0035,V003,Glean AI,CAT01,Category 1 - Core Agent Intelligence,C01,Autonomy,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Autonomous tool invocation and headless background runs are subject to administrator and agent-permission controls.,"Glean Agents execute multi-step workflows autonomously—retrieving information, executing code, and triggering actions across enterprise tools based on conversational, scheduled, trigger-based, or form inputs. Scheduled/background agents can run headless end-to-end without per-run user confirmation.",Official Documentation,1](https://docs.glean.com/agents/how-agents-work) ; [2](https://docs.glean.com/security/agents/background-agents) ; [3](https://www.glean.com/resources/guides/agents),High,Autonomous tool invocation and headless background runs are subject to administrator and agent-permission controls.
E0036,V003,Glean AI,CAT01,Category 1 - Core Agent Intelligence,C02,Learning & Adaptability,Evaluated,3.0,Adequate,"Assigned score of 3 based on the documented evidence for this criterion. Evidence supports runtime loop adaptation and builder-driven prompt refinement based on analytics, but not autonomous continual model retraining from errors.","Glean agents adapt dynamically during loops using tool feedback and intermediate results. Performance is continuously monitored via Agent Insights user feedback metrics (thumbs up/down), task-specific LLM judges, and evaluation test sets to guide prompt/step refinement.",Official Documentation,1](https://docs.glean.com/security/how-code-search-works) ; [2](https://docs.glean.com/agents/actions/build-agent-with-atomic-actions) ; [3](https://docs.glean.com/agents/concepts/feedback-in-agent-insights),High / Medium,"Evidence supports runtime loop adaptation and builder-driven prompt refinement based on analytics, but not autonomous continual model retraining from errors."
E0037,V003,Glean AI,CAT01,Category 1 - Core Agent Intelligence,C03,Memory & Context Management,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Combines real-time step execution memory with enterprise-wide graph retrieval. Memory primarily persists execution context rather than cross-session user memory across unrelated runs.,"Agents store inputs, outputs, conversation history, and prior step results in memory, leveraging Glean's Enterprise Graph and semantic RAG to persist and retrieve permission-aware context across connected company sources. Sub-agent outputs return directly to parent agent memory.",Official Documentation,1](https://docs.glean.com/agents/concepts/memory) ; [2](https://www.glean.com/blog/rag-for-llms),High,Combines real-time step execution memory with enterprise-wide graph retrieval. Memory primarily persists execution context rather than cross-session user memory across unrelated runs.
E0038,V003,Glean AI,CAT01,Category 1 - Core Agent Intelligence,C04,Planning & Reasoning,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Supports reasoning-specific LLMs at both the overall agent level and individual step levels; adapts subsequent tool calls based on intermediate results.,"Glean's agentic planner breaks down complex goals using multi-stage prompting and prompt chaining, leveraging reasoning models (e.g., o3, Gemini Pro 2.5) to decide intermediate logic, select tools, and loop/branch until goal conditions are met.",Official Documentation,1](https://docs.glean.com/agents/actions/build-agent-with-atomic-actions) ; [2](https://docs.glean.com/security/how-code-search-works) ; [3](https://docs.glean.com/agents/create-powerful-agent),High,Supports reasoning-specific LLMs at both the overall agent level and individual step levels; adapts subsequent tool calls based on intermediate results.
E0039,V003,Glean AI,CAT01,Category 1 - Core Agent Intelligence,C05,Workflow Orchestration,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Workflows support both visual step-by-step manual configuration and natural language generation.,"Glean Agent Builder provides a visual flow canvas to define triggers, step sequences, document read actions, prompt formatting, loops, and conditional branching. Agents can also be auto-drafted from natural language and use planner-driven orchestration for multi-step execution and retries.",Official Documentation,1](https://docs.glean.com/agents/how-agents-work) ; [2](https://docs.glean.com/agents/actions/build-agent-with-atomic-actions) ; [3](https://docs.glean.com/agents/create-agents/create-your-first-agent),High,Workflows support both visual step-by-step manual configuration and natural language generation.
E0040,V003,Glean AI,CAT02,Category 2 - Agent Architecture & Development,C06,Agent Creation (Low-Code / No-Code),Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Users can visually reorder steps, add branching, and configure tool parameters; natural language drafting requires an agentic model configured in the org.","Glean Agent Builder provides a no-code visual canvas and a conversational ""Build with Natural Language"" interface that automatically generates workflow steps, triggers, and tool configurations from plain text descriptions.",Official Documentation,1](https://docs.glean.com/agents/create-agent-natural-language) ; [2](https://docs.glean.com/agents/concepts/agent-builder) ; [3](https://docs.glean.com/agents/create-agents/create-your-first-agent),High,"Users can visually reorder steps, add branching, and configure tool parameters; natural language drafting requires an agentic model configured in the org."
E0041,V003,Glean AI,CAT02,Category 2 - Agent Architecture & Development,C07,Ease of Development,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Interactive debug mode and prebuilt templates significantly reduce custom development overhead.,"Features natural-language workflow generation, prebuilt agent templates, action integrations, prompt enhancement, live draft previewing, and an interactive step-by-step debug mode to inspect raw tool inputs, outputs, and data transformations.",Official Documentation,1](https://docs.glean.com/agents/concepts/agent-builder) ; [2](https://docs.glean.com/agents/create-agents/create-your-first-agent),High,Interactive debug mode and prebuilt templates significantly reduce custom development overhead.
